DEBUG: | 0x19 - be 29 | tick : 0x22 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x5 | r4 : 0x6e | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x5 | zf : 0 | nf : 0 |
DEBUG: | 0x1a - out 0, 4 | tick : 0x23 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x5 | r4 : 0x6e | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x5 | zf : 0 | nf : 0 |
DEBUG: | 0x1a - out 0, 4 | tick : 0x24 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x5 | r4 : 0x6e | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x5 | zf : 0 | nf : 0 |
DEBUG: | 0x1b - inc 3 | tick : 0x25 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x5 | r4 : 0x6e | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x5 | zf : 0 | nf : 0 |
DEBUG: | 0x1b - inc 3 | tick : 0x26 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x6 | r4 : 0x6e | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x5 | zf : 0 | nf : 0 |
DEBUG: | 0x1c - jmp 23 | tick : 0x27 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x6 | r4 : 0x6e | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x5 | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x28 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x6 | r4 : 0x6e | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x5 | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x29 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x6 | r4 : 0x6e | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x6 | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x2a -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x6 | r4 : 0x74 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x6 | zf : 0 | nf : 0 |
DEBUG: | 0x18 - test 4, 4 | tick : 0x2b -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x6 | r4 : 0x74 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x6 | zf : 0 | nf : 0 |
DEBUG: | 0x19 - be 29 | tick : 0x2c -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x6 | r4 : 0x74 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x6 | zf : 0 | nf : 0 |
DEBUG: | 0x1a - out 0, 4 | tick : 0x2d -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x6 | r4 : 0x74 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x6 | zf : 0 | nf : 0 |
DEBUG: | 0x1a - out 0, 4 | tick : 0x2e -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x6 | r4 : 0x74 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x6 | zf : 0 | nf : 0 |
DEBUG: | 0x1b - inc 3 | tick : 0x2f -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x6 | r4 : 0x74 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x6 | zf : 0 | nf : 0 |
DEBUG: | 0x1b - inc 3 | tick : 0x30 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x7 | r4 : 0x74 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x6 | zf : 0 | nf : 0 |
DEBUG: | 0x1c - jmp 23 | tick : 0x31 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x7 | r4 : 0x74 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x6 | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x32 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x7 | r4 : 0x74 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x6 | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x33 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x7 | r4 : 0x74 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x7 | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x34 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x7 | r4 : 0x65 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x7 | zf : 0 | nf : 0 |
DEBUG: | 0x18 - test 4, 4 | tick : 0x35 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x7 | r4 : 0x65 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x7 | zf : 0 | nf : 0 |
DEBUG: | 0x19 - be 29 | tick : 0x36 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x7 | r4 : 0x65 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x7 | zf : 0 | nf : 0 |
DEBUG: | 0x1a - out 0, 4 | tick : 0x37 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x7 | r4 : 0x65 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x7 | zf : 0 | nf : 0 |
DEBUG: | 0x1a - out 0, 4 | tick : 0x38 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x7 | r4 : 0x65 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x7 | zf : 0 | nf : 0 |
DEBUG: | 0x1b - inc 3 | tick : 0x39 -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x7 | r4 : 0x65 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x7 | zf : 0 | nf : 0 |
DEBUG: | 0x1b - inc 3 | tick : 0x3a -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x8 | r4 : 0x65 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x7 | zf : 0 | nf : 0 |
DEBUG: | 0x1c - jmp 23 | tick : 0x3b -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x8 | r4 : 0x65 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x7 | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x3c -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x8 | r4 : 0x65 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x7 | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x3d -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x8 | r4 : 0x65 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x8 | zf : 0 | nf : 0 |
DEBUG: | 0x17 - lbi 4, 3 | tick : 0x3e -> r0 : 0x0 | r1 : 0x4 | r2 : 0x0 | r3 : 0x8 | r4 : 0x72 | r5 : 0x1c | r6 : 0x0 | r7 : 0x0 | sp : 0xfffffff4 | raddr : 0x8 | zf : 0 | nf : 0 |
